"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups","Message ID","Latitude","Longitude","Site","Net_Name","Depth_Stratum","daylight","date_start","lat_decdeg_start","DateR_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","Site_stop","date_stop","DateR_stop","towtime","Speed_mpm","distance_m","VolumeFiltered_m3"
"1","in2020_v08",15,15,"Gempylidae - undifferentiated",37439918,NA,61,"no","weight","-20 degC",NA,"Plastic Bag","Fish","Fish",262,"47  04.96 S","141  21.45 E","SOTS","RMT16","Epi","Day",2020-12-17 21:19:00,-46.9173333333333,"17/12/2020 21:19",-140.6425,-46.929,-140.651666666667,"SOTS",2020-12-17 21:59:00,"17/12/2020 21:59",40,30.867284,1234.69136,19755.06176
"2","in2020_v08",15,24,"Gempylidae - undifferentiated",37439918,NA,1,"subsample",NA,"Ambient","Formaldehyde","McCarthy Vial","Fish","Fish",262,"47  04.96 S","141  21.45 E","SOTS","RMT16","Epi","Day",2020-12-17 21:19:00,-46.9173333333333,"17/12/2020 21:19",-140.6425,-46.929,-140.651666666667,"SOTS",2020-12-17 21:59:00,"17/12/2020 21:59",40,30.867284,1234.69136,19755.06176
"3","in2020_v08",15,26,"Gempylidae - undifferentiated",37439918,NA,5,"subsample",NA,"Ambient","Formaldehyde","McCarthy Vial","Fish","Fish",262,"47  04.96 S","141  21.45 E","SOTS","RMT16","Epi","Day",2020-12-17 21:19:00,-46.9173333333333,"17/12/2020 21:19",-140.6425,-46.929,-140.651666666667,"SOTS",2020-12-17 21:59:00,"17/12/2020 21:59",40,30.867284,1234.69136,19755.06176
"4","in2020_v08",37,4,"Paradiplospinus spp.",37439908,10,1,"Paradiplospinus","antarcticas","-20 degC",NA,NA,"Fish","Fish",705,"58  00.85 S","141  14.26 E","58S","RMT16","Epi","Night",2021-01-01 14:08:00,-57.9858333333333,"1/01/2021 14:08",-140.762333333333,-57.9943333333333,-140.781166666667,"58S",2021-01-01 14:48:00,"1/01/2021 14:48",40,30.867284,1234.69136,19755.06176
"5","in2020_v08",15,25,"Scombrolabracidae, Gempylidae - undifferentiated",37439000,NA,1,"not","weighed;","Ambient","Ethanol 70%","McCarthy Vial","Fish","Fish",262,"47  04.96 S","141  21.45 E","SOTS","RMT16","Epi","Day",2020-12-17 21:19:00,-46.9173333333333,"17/12/2020 21:19",-140.6425,-46.929,-140.651666666667,"SOTS",2020-12-17 21:59:00,"17/12/2020 21:59",40,30.867284,1234.69136,19755.06176
"6","in2020_v08",17,28,"Liparidae - undifferentiated",37307000,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",284,"47  05.07 S","141  21.91 E","SOTS","RMT16","Epi","Night",2020-12-18 11:21:00,-46.9155,"18/12/2020 11:21",-140.634833333333,-46.9163333333333,-140.643166666667,"SOTS",2020-12-18 12:01:00,"18/12/2020 12:01",40,30.867284,1234.69136,19755.06176
"7","in2020_v08",35,9,"Trachipteridae - undifferentiated",37271000,NA,NA,NA,NA,"-20 degC",NA,NA,"Fish","Fish",688,"55  49.77 S","138  26.23 E","55S","RMT16","Lmeso","Night",2020-12-30 15:43:00,-54.1705,"30/12/2020 15:43",-137.562833333333,-54.1906666666667,-137.6135,"55S",2020-12-30 17:43:00,"30/12/2020 17:43",120,30.867284,3704.07408,59265.18528
"8","in2020_v08",34,34,"Oreosomatidae - undifferentiated",37266000,0.5,1,NA,NA,"Ambient","Formaldehyde",NA,"Fish","Fish",574,"55  49.67 S","138  35.14 E","55S","RMT16","Meso","Night",2020-12-29 13:42:00,-54.1721666666667,"29/12/2020 13:42",-137.414333333333,-54.1748333333333,-137.437666666667,"55S",2020-12-29 14:22:00,"29/12/2020 14:22",40,30.867284,1234.69136,19755.06176
"9","in2020_v08",14,36,"Sio nordenskjoldii",37251007,21,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",260,"47  05.53 S","141  21.24 E","SOTS","RMT16","Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"10","in2020_v08",7,9,"Melamphaidae - undifferentiated",37251000,2,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish",248,"47  05.8 S","141  23.16 E","SOTS","RMT16","Lmeso","Day",2020-12-12 04:25:00,-46.9033333333333,"12/12/2020 4:25",-140.614,-46.9305,-140.576333333333,"SOTS",2020-12-12 06:25:00,"12/12/2020 6:25",120,30.867284,3704.07408,59265.18528
