"","Voyage","Deployment","Acc","Acc_ed","Sample_Type","Taxa","CAAB","Taxa_ed","CAAB_ed","weight_g","Count","Comments","Storage_temp","Preservative","Container name","CAAB_updated","Taxa_updated","Message ID","Latitude","Longitude","Site","Net_Name","Depth_Stratum","daylight","date_start","lat_decdeg_start","DateR_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","Site_stop","date_stop","DateR_stop","towtime","Speed_mpm","distance_m_byspeed","VolumeFiltered_m3_speed"
"1","in2020_v08",1,1,"1","S","Argyropelecus gigas",37107005,"Argyropelecus gigas",37107005,2.7,2,NA,"-20 degC",NA,NA,37107005,"Argyropelecus gigas",240,"44  45.13 S","145  22.94 E","Trawl","RMT16","Integrated","Day",2020-12-05 09:16:00,-43.2478333333333,"5/12/2020 9:16",-144.617666666667,-43.2748333333333,-144.642833333333,"Trawl",2020-12-05 10:36:00,"5/12/2020 10:36",80,30.867284,2469.38272,39510.12352
"2","in2020_v08",1,3,"3","S","Argyropelecus hemigymnus",37107006,"Argyropelecus hemigymnus",37107006,0.5,1,NA,"-20 degC",NA,NA,37107006,"Argyropelecus hemigymnus",240,"44  45.13 S","145  22.94 E","Trawl","RMT16","Integrated","Day",2020-12-05 09:16:00,-43.2478333333333,"5/12/2020 9:16",-144.617666666667,-43.2748333333333,-144.642833333333,"Trawl",2020-12-05 10:36:00,"5/12/2020 10:36",80,30.867284,2469.38272,39510.12352
"3","in2020_v08",5,3,"3","S","Argyropelecus hemigymnus",37107006,"Argyropelecus hemigymnus",37107006,0.5,1,"< 1 g wet weight","-20 degC",NA,"Plastic Bag",37107006,"Argyropelecus hemigymnus",244,"47  06.59 S","141  23.18 E","SOTS","RMT16","Epi","Night",2020-12-10 16:55:00,-46.8901666666667,"10/12/2020 16:55",-140.613666666667,-46.8816666666667,-140.629833333333,"SOTS",2020-12-10 17:35:00,"10/12/2020 17:35",40,30.867284,1234.69136,19755.06176
"4","in2020_v08",3,1,"1","S","Argyropelecus hemigymnus",37107006,"Argyropelecus hemigymnus",37107006,1,5,"Total weight adjusted from 5 to 1","-20 degC",NA,"McCarthy Vial",37107006,"Argyropelecus hemigymnus",242,"47  07.17 S","141  22.36 E","SOTS","RMT16","Meso","Day",2020-12-10 02:28:00,-46.8805,"10/12/2020 2:28",-140.627333333333,-46.8716666666667,-140.644,"SOTS",2020-12-10 03:08:00,"10/12/2020 3:08",40,30.867284,1234.69136,19755.06176
"5",NA,14,38,"101(38)","S",NA,NA,NA,NA,0.5,2,NA,"-20 degC",NA,NA,NA,NA,260,"47  05.53 S","141  21.24 E","SOTS","RMT16","Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"6","in2020_v08",14,38,"38","RNST","Melanonus spp.",37224501,"Bathylagidae - undifferentiated",37098000,0.5,3,"< 1 g wet weight","-20 degC",NA,"Plastic Bag",37098000,"Bathylagidae - undifferentiated",260,"47  05.53 S","141  21.24 E","SOTS","RMT16","Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"7","in2020_v08",14,38,"38(38)","S","Melanonus spp.",37224501,"Bathylagidae - undifferentiated",37098000,0.5,1,"< 1 g wet weight","-20 degC",NA,"Plastic Bag",37098000,"Bathylagidae - undifferentiated",260,"47  05.53 S","141  21.24 E","SOTS","RMT16","Lmeso","Day",2020-12-16 03:20:00,-46.9078333333333,"16/12/2020 3:20",-140.646,-46.8828333333333,-140.684833333333,"SOTS",2020-12-16 05:20:00,"16/12/2020 5:20",120,30.867284,3704.07408,59265.18528
"8","in2020_v08",7,11,"11","S","Melanonidae - undifferentiated",37224918,"Bathylagidae - undifferentiated",37098000,2,3,NA,"-20 degC",NA,"Plastic Bag",37098000,"Bathylagidae - undifferentiated",248,"47  05.8 S","141  23.16 E","SOTS","RMT16","Lmeso","Day",2020-12-12 04:25:00,-46.9033333333333,"12/12/2020 4:25",-140.614,-46.9305,-140.576333333333,"SOTS",2020-12-12 06:25:00,"12/12/2020 6:25",120,30.867284,3704.07408,59265.18528
"9","in2020_v08",22,34,"34","S","Bathylagus tenuis",NA,"Bathylagus spp.",37098903,10,3,NA,"-20 degC",NA,"Plastic Bag",37098903,"Bathylagus spp.",308,"47  04.39 S","141  20.91 E","SOTS","RMT16","Lmeso","Day",2020-12-20 02:51:00,-46.9268333333333,"20/12/2020 2:51",-140.6515,-46.9575,-140.681333333333,"SOTS",2020-12-20 04:51:00,"20/12/2020 4:51",120,30.867284,3704.07408,59265.18528
"10","in2020_v08",13,33,"33","S","Melanonidae - undifferentiated",37224918,"Bathylagus spp.",37098903,1,1,NA,"-20 degC",NA,"Plastic Bag",37098903,"Bathylagus spp.",258,"47  05.41 S","141  21.78 E","SOTS","RMT16","Lmeso","Night",2020-12-15 11:46:00,-46.9098333333333,"15/12/2020 11:46",-140.637,-46.8858333333333,-140.659833333333,"SOTS",2020-12-15 13:46:00,"15/12/2020 13:46",120,30.867284,3704.07408,59265.18528
