"","ID","Site","daylight","Depth_Stratum","Deployment","ACat","Taxa_Groups","Acoustic_Category","Taxa_updated","CAAB_updated","nos","weight_g","Weight_Std_gm3_gps","Abd_Std_nosm3_gps","Weight_Std_gm3_sp","Abd_Std_nosm3_sp","AvgL_mm","datetime_UTC_start","datetime_UTC_stop","lat_decdeg_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","VolumeFiltered_m3_speed","VolumeFiltered_m3_gps","Taxa_PLAOS"
"1",48,"SOTS","Day","Meso",3,"Amphipods","Crustaceans","Crustaceans","Cystisoma spp.",28565901,1,0.5,1.94945573897713e-05,3.89891147795427e-05,2.53099689626078e-05,5.06199379252156e-05,47,"10/12/2020 2:28","10/12/2020 3:08",-46.8805,-140.6273333,-46.87166667,-140.644,19755.06176,25648.18426,"Crustacean"
"2",52,"SOTS","Day","Meso",3,"Chaetognath","Chaetognath","G_nGB","Phylum Chaetognatha - undifferentiated",36010000,77,4,0.000155956459118171,0.00300216183802479,0.000202479751700862,0.0038977352202416,38.25,"10/12/2020 2:28","10/12/2020 3:08",-46.8805,-140.6273333,-46.87166667,-140.644,19755.06176,25648.18426,"Chaetognath"
"3",54,"SOTS","Day","Meso",3,"FGB","FGB","FGB","Argyropelecus hemigymnus",37107006,5,1,3.89891147795427e-05,0.000194945573897713,5.06199379252156e-05,0.000253099689626078,20,"10/12/2020 2:28","10/12/2020 3:08",-46.8805,-140.6273333,-46.87166667,-140.644,19755.06176,25648.18426,"FGB"
"4",57,"SOTS","Day","Meso",3,"Medusa","Gelatinous_Active","G_nGB","Solmissus spp.",11082902,2,10,0.000389891147795427,7.79782295590854e-05,0.000506199379252156,0.000101239875850431,49,"10/12/2020 2:28","10/12/2020 3:08",-46.8805,-140.6273333,-46.87166667,-140.644,19755.06176,25648.18426,"Medusa"
"5",60,"SOTS","Day","Meso",3,"Tunicates","Tunicates","G_nGB","Pyrosoma atlanticum",35101001,31,4989,0.194516693635138,0.00120866255816582,0.2525428703089,0.00156921807568168,250.387096774194,"10/12/2020 2:28","10/12/2020 3:08",-46.8805,-140.6273333,-46.87166667,-140.644,19755.06176,25648.18426,"Pyrosome"
"6",62,"SOTS","Day","Meso",3,"Tunicates","Tunicates","G_nGB","Soestia zonaria",35103016,2,8,0.000311912918236341,7.79782295590854e-05,0.000404959503401725,0.000101239875850431,76.5,"10/12/2020 2:28","10/12/2020 3:08",-46.8805,-140.6273333,-46.87166667,-140.644,19755.06176,25648.18426,"Salp"
"7",74,"SOTS","Night","Epi",5,"Amphipods","Crustaceans","Crustaceans","Phronima spp.",28572901,5,0.5,2.01600086256452e-05,0.000201600086256452,2.53099689626078e-05,0.000253099689626078,26,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"Crustacean"
"8",78,"SOTS","Night","Epi",5,"Cephalopod","Cephalopod","Cephalopod","Cranchiidae - undifferentiated",23643000,4,16.5,0.00066528028464629,0.000161280069005161,0.000835228975766057,0.000202479751700862,36.3333333333333,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"Cephalopod"
"9",80,"SOTS","Night","Epi",5,"Chaetognath","Chaetognath","G_nGB","Phylum Chaetognatha - undifferentiated",36010000,126,6,0.000241920103507742,0.00508032217366258,0.000303719627551293,0.00637811217857716,40.3666666666667,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"Chaetognath"
"10",82,"SOTS","Night","Epi",5,"FGB","FGB","FGB","Argyropelecus hemigymnus",37107006,1,0.5,2.01600086256452e-05,4.03200172512903e-05,2.53099689626078e-05,5.06199379252156e-05,28,"10/12/2020 16:55","10/12/2020 17:35",-46.89016667,-140.6136667,-46.88166667,-140.6298333,19755.06176,24801.57669,"FGB"
