"","ID","Site","daylight","Depth_Stratum","Deployment","ACat","Taxa_Groups","Acoustic_Category","Taxa_updated","CAAB_updated","nos","weight_g","Weight_Std_gm3_gps","Abd_Std_nosm3_gps","Weight_Std_gm3_sp","Abd_Std_nosm3_sp","AvgL_mm","datetime_UTC_start","datetime_UTC_stop","lat_decdeg_start","long_decdeg_start","lat_decdeg_stop","long_decdeg_stop","VolumeFiltered_m3_speed","VolumeFiltered_m3_gps","Taxa_PLAOS"
"1",1,"Trawl","Day","Integrated",1,"Amphipods","Crustaceans","Crustaceans","Scina spp.",28561901,4,0.5,8.61217820381698e-06,6.88974256305358e-05,1.26549844813039e-05,0.000101239875850431,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Crustacean"
"2",2,"Trawl","Day","Integrated",1,"Amphipods","Crustaceans","Crustaceans","Themisto spp.",28570910,9,0.5,8.61217820381698e-06,0.000155019207668706,1.26549844813039e-05,0.00022778972066347,9.11111111111111,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Crustacean"
"3",3,"Trawl","Day","Integrated",1,"Chaetognath","Chaetognath","G_nGB","Phylum Chaetognatha - undifferentiated",36010000,141,0.5,8.61217820381698e-06,0.00242863425347639,1.26549844813039e-05,0.0035687056237277,32.6833333333333,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Chaetognath"
"4",4,"Trawl","Day","Integrated",1,"Copepod","Crustaceans","Crustaceans","Subclass Copepoda - undifferentiated",27200000,28,0.5,8.61217820381698e-06,0.000482281979413751,1.26549844813039e-05,0.000708679130953018,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Crustacean"
"5",5,"Trawl","Day","Integrated",1,"Crustacean","Crustaceans","Crustaceans","Crab melopae",28850903,7,0.5,8.61217820381698e-06,0.000120570494853438,1.26549844813039e-05,0.000177169782738255,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Crustacean"
"6",6,"Trawl","Day","Integrated",1,"FGB","FGB","FGB","Argyropelecus gigas",37107005,2,2.7,4.65057623006117e-05,3.44487128152679e-05,6.8336916199041e-05,5.06199379252156e-05,68.5,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"FGB"
"7",7,"Trawl","Day","Integrated",1,"FGB","FGB","FGB","Argyropelecus hemigymnus",37107006,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,25,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"FGB"
"8",8,"Trawl","Day","Integrated",1,"FGB","FGB","FGB","Cyclothone spp.",37106902,35,0.5,8.61217820381698e-06,0.000602852474267189,1.26549844813039e-05,0.000885848913691273,25.1714285714286,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"FGB"
"9",9,"Trawl","Day","Integrated",1,"FGB","FGB","FGB","Lampanyctus australis",37122019,18,100,0.0017224356407634,0.000310038415337411,0.00253099689626078,0.00045557944132694,72.0555555555556,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"FGB"
"10",10,"Trawl","Day","Integrated",1,"FGB","FGB","FGB","Malacosteus australis",37110003,1,2,3.44487128152679e-05,1.7224356407634e-05,5.06199379252156e-05,2.53099689626078e-05,6.1,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"FGB"
"11",11,"Trawl","Day","Integrated",1,"FGB","FGB","FGB","Melamphaidae - undifferentiated",37251000,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,3.1,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"FGB"
"12",12,"Trawl","Day","Integrated",1,"FnGB","FnGB","FnGB","Stomias spp.",37112902,1,1,1.7224356407634e-05,1.7224356407634e-05,2.53099689626078e-05,2.53099689626078e-05,83,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"FnGB"
"13",13,"Trawl","Day","Integrated",1,"Krill","Crustaceans","Crustaceans","Euphausia spp.",28702901,3,0.5,8.61217820381698e-06,5.16730692229019e-05,1.26549844813039e-05,7.59299068878234e-05,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Krill"
"14",14,"Trawl","Day","Integrated",1,"Krill","Crustaceans","Crustaceans","Nematoscelis spp.",28702903,42,3,5.16730692229019e-05,0.000723422969120626,7.59299068878234e-05,0.00106301869642953,18.3333333333333,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Krill"
"15",15,"Trawl","Day","Integrated",1,"Krill","Crustaceans","Crustaceans","Nematoscelis spp.",28702903,42,3,5.16730692229019e-05,0.000723422969120626,7.59299068878234e-05,0.00106301869642953,24.4,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Krill"
"16",16,"Trawl","Day","Integrated",1,"Krill","Crustaceans","Crustaceans","Nematoscelis spp.",28702903,42,3,5.16730692229019e-05,0.000723422969120626,7.59299068878234e-05,0.00106301869642953,12.8888888888889,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Krill"
"17",17,"Trawl","Day","Integrated",1,"Krill","Crustaceans","Crustaceans","Stylocheiron spp.",28702906,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Krill"
"18",18,"Trawl","Day","Integrated",1,"Medusa","Gelatinous_Active","G_nGB","Atolla spp.",11123901,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,3,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Medusa"
"19",19,"Trawl","Day","Integrated",1,"Medusa","Gelatinous_Active","G_nGB","Periphylla periphylla",11128001,3,1,1.7224356407634e-05,5.16730692229019e-05,2.53099689626078e-05,7.59299068878234e-05,36.6666666666667,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Medusa"
"20",20,"Trawl","Day","Integrated",1,"Medusa","Gelatinous_Active","G_nGB","Rhopalonema spp.",11089906,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,4,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Medusa"
"21",21,"Trawl","Day","Integrated",1,"Medusa","Gelatinous_Active","G_nGB","Solmissus spp.",11082902,3,30,0.000516730692229019,5.16730692229019e-05,0.000759299068878234,7.59299068878234e-05,15.3333333333333,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Medusa"
"22",22,"Trawl","Day","Integrated",1,"Prawn","Crustaceans","Crustaceans","Acanthephyra quadrispinosa",28735007,9,6,0.000103346138445804,0.000155019207668706,0.000151859813775647,0.00022778972066347,41.6666666666667,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Prawn"
"23",23,"Trawl","Day","Integrated",1,"Prawn","Crustaceans","Crustaceans","Acanthephyra spp.",28735901,2,0.5,8.61217820381698e-06,3.44487128152679e-05,1.26549844813039e-05,5.06199379252156e-05,40.5,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Prawn"
"24",24,"Trawl","Day","Integrated",1,"Prawn","Crustaceans","Crustaceans","Gennadas spp.",28713903,29,3,5.16730692229019e-05,0.000499506335821385,7.59299068878234e-05,0.000733989099915626,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Prawn"
"25",25,"Trawl","Day","Integrated",1,"Prawn","Crustaceans","Crustaceans","Notostomus auriculatus",28735028,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,6,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Prawn"
"26",26,"Trawl","Day","Integrated",1,"Prawn","Crustaceans","Crustaceans","Phorcosergia potens",28720020,3,2,3.44487128152679e-05,5.16730692229019e-05,5.06199379252156e-05,7.59299068878234e-05,30.7142857142857,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Prawn"
"27",27,"Trawl","Day","Integrated",1,"Prawn","Crustaceans","Crustaceans","Sergestes spp.",28720906,12,6,0.000103346138445804,0.000206692276891608,0.000151859813775647,0.000303719627551293,42.9166666666667,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Prawn"
"28",28,"Trawl","Day","Integrated",1,"Pteropod","other","other","Clio spp.",24406901,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Other"
"29",29,"Trawl","Day","Integrated",1,"Siphonophore","Gelatinous_Active","G_nGB","Diphyes spp.",11093903,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Siphonophore"
"30",30,"Trawl","Day","Integrated",1,"Siphonophore","Gelatinous_Active","G_nGB","Order Siphonophora - undifferentiated",11090000,30,53,0.0009128908896046,0.000516730692229019,0.00134142835501821,0.000759299068878234,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Siphonophore"
"31",31,"Trawl","Day","Integrated",1,"Siphonophore","Gelatinous_Active","G_nGB","Vogtia spinosa",11094003,6,20,0.000344487128152679,0.000103346138445804,0.000506199379252156,0.000151859813775647,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Siphonophore"
"32",32,"Trawl","Day","Integrated",1,"Tunicates","Tunicates","G_nGB","Pyrosomatidae - undifferentiated",35101000,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Salp"
"33",33,"Trawl","Day","Integrated",1,"Tunicates","Tunicates","G_nGB","Salpa spp.",35103908,10,30,0.000516730692229019,0.00017224356407634,0.000759299068878234,0.000253099689626078,5.6,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Salp"
"34",34,"Trawl","Day","Integrated",1,"worms","other","other","Phylum Nemertea - undifferentiated",1.4e+07,1,1,1.7224356407634e-05,1.7224356407634e-05,2.53099689626078e-05,2.53099689626078e-05,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Other"
"35",35,"Trawl","Day","Integrated",1,"worms","other","other","Tomopteris spp.",22068901,1,0.5,8.61217820381698e-06,1.7224356407634e-05,1.26549844813039e-05,2.53099689626078e-05,NA,"5/12/2020 9:16","5/12/2020 10:36",-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352,58057.32164,"Other"
"36",36,NA,NA,NA,2,"Amphipods","Crustaceans","Crustaceans","Themisto gaudichaudii",28570022,66,0.5,NA,NA,NA,NA,6.53333333333333,NA,NA,NA,NA,NA,NA,NA,NA,"Crustacean"
