,Site,daylight,Depth_Stratum,Deployment,ACat,Taxa_Groups,Taxa,CAAB,nos,weight_g,Weight_Std_gm3,Abd_Std_nosm3,datetime_UTC_start,datetime_UTC_stop,lat_decdeg_start,long_decdeg_start,lat_decdeg_stop,long_decdeg_stop,VolumeFiltered_m3
1,Trawl,Day,Integrated,1,Amphipods,Crustaceans,Scina spp.,28561901,4,0.5,1.27E-05,0.00010124,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
2,Trawl,Day,Integrated,1,Amphipods,Crustaceans,Themisto spp.,28570910,9,0.5,1.27E-05,0.00022779,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
3,Trawl,Day,Integrated,1,Chaetognath,Chaetognath,Phylum Chaetognatha - undifferentiated,36010000,141,1,2.53E-05,0.003568706,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
4,Trawl,Day,Integrated,1,Copepod,Crustaceans,Subclass Copepoda - undifferentiated,27200000,28,0.5,1.27E-05,0.000708679,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
5,Trawl,Day,Integrated,1,Crustacean,Crustaceans,Crab melopae,28850903,7,0.5,1.27E-05,0.00017717,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
6,Trawl,Day,Integrated,1,Fish,Fish,Argyropelecus gigas,37107005,2,2,5.06E-05,5.06E-05,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
7,Trawl,Day,Integrated,1,Fish,Fish,Argyropelecus hemigymnus,37107006,1,0.5,1.27E-05,2.53E-05,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
8,Trawl,Day,Integrated,1,Fish,Fish,Cyclothone sp.,37106501,35,0.5,1.27E-05,0.000885849,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
9,Trawl,Day,Integrated,1,Fish,Fish,Malacosteus spp.,37110902,1,2,5.06E-05,2.53E-05,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
10,Trawl,Day,Integrated,1,Fish,Fish,Stomias sp.,37112501,1,1,2.53E-05,2.53E-05,5/12/2020 9:16,5/12/2020 10:36,-43.24783333,-144.6176667,-43.27483333,-144.6428333,39510.12352
