"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"1","in2020_v08",15,15,"Gempylidae - undifferentiated",37439918,NA,61,"no","weight","-20 degC",NA,"Plastic Bag","Fish","Fish"
"2","in2020_v08",15,24,"Gempylidae - undifferentiated",37439918,NA,1,"subsample",NA,"Ambient","Formaldehyde","McCarthy Vial","Fish","Fish"
"3","in2020_v08",15,26,"Gempylidae - undifferentiated",37439918,NA,5,"subsample",NA,"Ambient","Formaldehyde","McCarthy Vial","Fish","Fish"
"4","in2020_v08",37,4,"Paradiplospinus spp.",37439908,10,1,"Paradiplospinus","antarcticas","-20 degC",NA,NA,"Fish","Fish"
"5","in2020_v08",15,25,"Scombrolabracidae, Gempylidae - undifferentiated",37439000,NA,1,"not","weighed;","Ambient","Ethanol 70%","McCarthy Vial","Fish","Fish"
"6","in2020_v08",17,28,"Liparidae - undifferentiated",37307000,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"7","in2020_v08",35,9,"Trachipteridae - undifferentiated",37271000,NA,NA,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"8","in2020_v08",34,34,"Oreosomatidae - undifferentiated",37266000,0.5,1,NA,NA,"Ambient","Formaldehyde",NA,"Fish","Fish"
"9","in2020_v08",14,36,"Sio nordenskjoldii",37251007,21,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"10","in2020_v08",7,9,"Melamphaidae - undifferentiated",37251000,2,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"11","in2020_v08",22,22,"Melamphaidae - undifferentiated",37251000,10,5,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"12","in2020_v08",7,11,"Melanonidae - undifferentiated",37224918,2,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"13","in2020_v08",12,2,"Melanonidae - undifferentiated",37224918,3,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"14","in2020_v08",13,33,"Melanonidae - undifferentiated",37224918,1,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"15","in2020_v08",22,37,"Melanonidae - undifferentiated",37224918,4,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"16","in2020_v08",14,38,"Melanonus sp.",37224501,0.5,3,"<","1","-20 degC",NA,"Plastic Bag","Fish","Fish"
"17","in2020_v08",7,8,"Melanonus gracilis",37224015,17,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"18","in2020_v08",13,34,"Melanonus gracilis",37224015,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"19","in2020_v08",29,17,"Melanonus gracilis",37224015,21,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"20","in2020_v08",14,35,"Oneirodes notius",37216008,30,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"21","in2020_v08",36,24,"Melanocetus spp.",37213901,15,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"22","in2020_v08",41,15,"Benthalbella elongata",37131750,22,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"23","in2020_v08",47,4,"Benthalbella elongata",37131750,4,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"24","in2020_v08",52,13,"Benthalbella elongata",37131750,7,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"25","in2020_v08",6,1,"Evermannella balbo",37130002,4,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"26","in2020_v08",28,17,"Notolepis coatsi",37126750,2,2,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"27","in2020_v08",29,15,"Notolepis coatsi",37126750,1,3,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"28","in2020_v08",46,8,"Notolepis coatsi",37126750,1,3,"1","into","Ambient","Ethanol 70%","Plastic Bag","Fish","Fish"
"29","in2020_v08",30,11,"Paralepididae sp. A",37126503,3,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"30","in2020_v08",35,8,"Paralepididae - undifferentiated",37126000,0.5,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"31","in2020_v08",35,49,"Paralepididae - undifferentiated",37126000,0.5,2,"small","paralepididae-","Ambient","Formaldehyde",NA,"Fish","Fish"
"32","in2020_v08",41,18,"Paralepididae - undifferentiated",37126000,2,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"33","in2020_v08",42,9,"Paralepididae - undifferentiated",37126000,10,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"34","in2020_v08",46,58,"Paralepididae - undifferentiated",37126000,NA,2,"subsample","#8","Ambient","Formaldehyde",NA,"Fish","Fish"
"35","in2020_v08",30,12,"Nannobrachium spp.",37122920,15,5,"lampanyctus","or","-20 degC",NA,"Plastic Bag","Fish","Fish"
"36","in2020_v08",30,13,"Nannobrachium spp.",37122920,23,4,"lampanyctus","or","-20 degC",NA,"Plastic Bag","Fish","Fish"
"37","in2020_v08",17,33,"Gymnoscopelus spp.",37122909,2,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"38","in2020_v08",28,18,"Gymnoscopelus spp.",37122909,35,11,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"39","in2020_v08",36,17,"Gymnoscopelus spp.",37122909,6,12,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"40","in2020_v08",40,31,"Gymnoscopelus spp.",37122909,10,1,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"41","in2020_v08",41,21,"Gymnoscopelus spp.",37122909,16,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"42","in2020_v08",46,5,"Gymnoscopelus spp.",37122909,5,1,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"43","in2020_v08",49,2,"Gymnoscopelus spp.",37122909,10,4,NA,NA,"-20 degC",NA,NA,"Fish","Fish"
"44","in2020_v08",52,19,"Gymnoscopelus spp.",37122909,0.5,1,"<","1","-20 degC",NA,"Plastic Bag","Fish","Fish"
"45","in2020_v08",12,1,"Electrona spp.",37122901,8,3,NA,NA,"-20 degC",NA,"Plastic bucket","Fish","Fish"
"46","in2020_v08",12,8,"Electrona spp.",37122901,1,2,NA,NA,"-20 degC",NA,"Plastic Bag","Fish","Fish"
"47","in2020_v08",26,5,"Electrona spp.",37122901,3,1,NA,NA,"-20 degC",NA,"Plastic bucket","Fish","Fish"
