"","Voyage","Site","date_start","daylight","Deployment","Depth_Stratum","lat_decdeg_start","long_decdeg_start"
"1","IN2020_V08","58S",2021-01-02 02:13:00,"Day",39,"Epi",-57.9908333333333,-140.766166666667
"2","IN2020_V08","58S",2021-01-02 14:15:00,"Night",40,"Meso",-57.9891666666667,-140.7125
"3","IN2020_V08","58S",2021-01-01 14:08:00,"Night",37,"Epi",-57.9858333333333,-140.762333333333
"4","IN2020_V08","58S",2021-01-01 22:38:00,"Day",38,"Meso",-57.9791666666667,-140.7305
"5","IN2020_V08","58S",2021-01-09 14:23:00,"Night",53,"Meso",-56.1273333333333,-140.393333333333
"6","IN2020_V08","55S",2021-01-09 01:36:00,"Day",52,"Targeted_850to750",-56.117,-140.4165
"7","IN2020_V08","58S",2021-01-07 14:00:00,"Night",49,"Epi",-56.1035,-140.426333333333
"8","IN2020_V08","58S",2021-01-07 04:55:00,"Day",47,"Lmeso",-56.0706666666667,-140.538666666667
"9","IN2020_V08","58S",2021-01-07 09:56:00,NA,48,NA,-56.0705,-140.4385
"10","IN2020_V08","58S",2021-01-06 15:11:00,"Night",46,"Lmeso",-56.0703333333333,-140.496166666667
"11","IN2020_V08","58S",2021-01-07 10:04:00,"Day",48,"targeted_60m",-56.0701666666667,-140.442333333333
"12","IN2020_V08","58S",2021-01-06 08:53:00,"Day",45,"Meso",-56.0266666666667,-140.517666666667
"13","IN2020_V08","58S",2021-01-05 03:17:00,"Day",43,"targeted_70to90m",-56.0258333333333,-140.567
"14","IN2020_V08","58S",2021-01-06 04:58:00,"Day",44,"Epi",-56.0241666666667,-140.464666666667
"15","IN2020_V08","58S",2021-01-04 02:39:00,"Day",41,"Lmeso",-56.0231666666667,-140.680666666667
"16","IN2020_V08","58S",2021-01-04 12:38:00,"Night",42,"Lmeso",-56.0195,-140.622666666667
"17","IN2020_V08","55S",2020-12-28 15:44:00,"Night",29,"Lmeso",-54.2163333333333,-137.419666666667
"18","IN2020_V08","55S",2020-12-24 17:00:00,"Night",25,"Meso",-54.2131666666667,-137.139333333333
"19","IN2020_V08","55S",2020-12-28 22:51:00,"Day",32,"Meso",-54.2106666666667,-137.433666666667
"20","IN2020_V08","55S",2020-12-28 03:16:00,"Night",31,"Epi",-54.2031666666667,-137.402333333333
"21","IN2020_V08","55S",2020-12-30 18:25:00,"Day",33,"Epi",-54.196,-137.624333333333
"22","IN2020_V08","55S",2020-12-26 05:28:00,"Day",28,"Lmeso",-54.1746666666667,-137.076833333333
"23","IN2020_V08","55S",2020-12-29 13:42:00,"Night",34,"Meso",-54.1721666666667,-137.414333333333
"24","IN2020_V08","55S",2020-12-30 15:43:00,"Night",35,"Lmeso",-54.1705,-137.562833333333
"25","IN2020_V08","55S",2020-12-27 02:28:00,"Day",30,"Lmeso",-54.164,-137.236666666667
"26","IN2020_V08","55S",2020-12-25 13:23:00,"Night",27,"Epi",-54.1541666666667,-137.008166666667
"27","IN2020_V08","55S",2020-12-31 01:36:00,"Day",36,"Lmeso",-54.1133333333333,-137.563666666667
"28","IN2020_V08","55S",2020-12-24 05:38:00,"Day",24,"Meso",-54.102,-138.9095
"29","IN2020_V08","55S",2020-12-24 02:49:00,"Day",23,"Epi",-54.0968333333333,-138.8545
"30","IN2020_V08","SOTS",2020-12-20 02:51:00,"Day",22,"Lmeso",-46.9268333333333,-140.6515
"31","IN2020_V08","SOTS",2020-12-13 23:31:00,"Day",8,"Epi",-46.921,-140.635
"32","IN2020_V08","SOTS",2020-12-14 14:23:00,"Night",12,"Meso",-46.9205,-140.636333333333
"33","IN2020_V08","SOTS",2020-12-14 11:23:00,"Night",11,"Epi",-46.9205,-140.627833333333
"34","IN2020_V08","SOTS",2020-12-14 04:52:00,"Day",10,"Meso",-46.9175,-140.634666666667
"35","IN2020_V08","SOTS",2020-12-17 21:19:00,"Day",15,"Epi",-46.9173333333333,-140.6425
"36","IN2020_V08","SOTS",2020-12-19 07:21:00,"Day",20,"target_100to0m",-46.9166666666667,-140.618166666667
"37","IN2020_V08","SOTS",2020-12-19 14:28:00,"Night",18,"Meso",-46.9161666666667,-140.653833333333
"38","IN2020_V08","SOTS",2020-12-18 01:07:00,"Day",16,"Meso",-46.9161666666667,-140.631833333333
"39","IN2020_V08","SOTS",2020-12-18 11:21:00,"Night",17,"Epi",-46.9155,-140.634833333333
"40","IN2020_V08","SOTS",2020-12-19 04:15:00,"Day",19,"200-100m_scattering_layer",-46.9143333333333,-140.638666666667
"41","IN2020_V08","SOTS",2020-12-15 11:46:00,"Night",13,"Lmeso",-46.9098333333333,-140.637
"42","IN2020_V08","SOTS",2020-12-16 03:20:00,"Day",14,"Lmeso",-46.9078333333333,-140.646
"43","IN2020_V08","SOTS",2020-12-12 04:25:00,"Day",7,"Lmeso",-46.9033333333333,-140.614
"44","IN2020_V08","SOTS",2020-12-10 16:55:00,"Night",5,"Epi",-46.8901666666667,-140.613666666667
"45","IN2020_V08","SOTS",2020-12-11 11:49:00,"Night",6,"Lmeso",-46.886,-140.6205
"46","IN2020_V08","SOTS",2020-12-10 02:28:00,"Day",3,"Meso",-46.8805,-140.627333333333
"47","IN2020_V08","Trawl",2020-12-05 09:16:00,"Day",1,"Integrated",-43.2478333333333,-144.617666666667
