"","Voyage","Deployment","Acc","Taxa","CAAB","weight_g","Count","sub","comment","Storage_temp","Preservative","Container name","ACat","Taxa_Groups"
"1","in2020_v08",1,10,"Phylum Chaetognatha - undifferentiated",36010000,1,141,NA,NA,"-20 degC",NA,"McCarthy Vial","Chaetognath","Chaetognath"
"2","in2020_v08",2,7,"Phylum Chaetognatha - undifferentiated",36010000,3,99,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"3","in2020_v08",3,3,"Phylum Chaetognatha - undifferentiated",36010000,4,77,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"4","in2020_v08",4,1,"Phylum Chaetognatha - undifferentiated",36010000,13,109,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"5","in2020_v08",5,10,"Phylum Chaetognatha - undifferentiated",36010000,5,95,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"6","in2020_v08",5,27,"Phylum Chaetognatha - undifferentiated",36010000,32,27,"subsample",NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"7","in2020_v08",7,57,"Phylum Chaetognatha - undifferentiated",36010000,130,NA,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"8","in2020_v08",8,6,"Phylum Chaetognatha - undifferentiated",36010000,14,154,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"9","in2020_v08",10,4,"Phylum Chaetognatha - undifferentiated",36010000,1,14,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"10","in2020_v08",11,1,"Phylum Chaetognatha - undifferentiated",36010000,396,NA,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"11","in2020_v08",12,12,"Phylum Chaetognatha - undifferentiated",36010000,28,208,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"12","in2020_v08",13,12,"Phylum Chaetognatha - undifferentiated",36010000,39,200,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"13","in2020_v08",14,3,"Phylum Chaetognatha - undifferentiated",36010000,162,100,"24g","kept","-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"14","in2020_v08",15,23,"Phylum Chaetognatha - undifferentiated",36010000,56,280,"subsample","of","-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"15","in2020_v08",16,9,"Phylum Chaetognatha - undifferentiated",36010000,12,50,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"16","in2020_v08",17,11,"Phylum Chaetognatha - undifferentiated",36010000,150,500,"some","frozen","-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"17","in2020_v08",19,3,"Phylum Chaetognatha - undifferentiated",36010000,55,71,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"18","in2020_v08",20,1,"Phylum Chaetognatha - undifferentiated",36010000,29,100,"measured",NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"19","in2020_v08",21,17,"Phylum Chaetognatha - undifferentiated",36010000,17,100,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"20","in2020_v08",22,12,"Phylum Chaetognatha - undifferentiated",36010000,230,NA,"measured","100","-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"21","in2020_v08",23,14,"Phylum Chaetognatha - undifferentiated",36010000,1,49,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"22","in2020_v08",24,7,"Phylum Chaetognatha - undifferentiated",36010000,7,56,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"23","in2020_v08",25,6,"Phylum Chaetognatha - undifferentiated",36010000,15,175,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
"24","in2020_v08",27,6,"Phylum Chaetognatha - undifferentiated",36010000,1,31,NA,NA,"-20 degC",NA,"Plastic Bag","Chaetognath","Chaetognath"
