,Acoustic_Category,Taxa_Groups,ACat,CAAB_updated,bladder_research,source,link,Taxa_updated,,,,
8,Cephalopod,Cephalopod,Cephalopod,23643000,,,,Cranchiidae - undifferentiated,,,,
55,Cephalopod,Cephalopod,Cephalopod,23630901,,,,Histioteuthis spp.,,,,
63,Cephalopod,Cephalopod,Cephalopod,23621902,,,,Pyroteuthidae - undifferentiated,,,,
139,Cephalopod,Cephalopod,Cephalopod,23609000,,,,Sepiolidae - undifferentiated,,,,
140,Cephalopod,Cephalopod,Cephalopod,23615000,,,,Order Teuthoidea - undifferentiated,,,,
2,G_nGB,Chaetognath,Chaetognath,36010000,,,,Phylum Chaetognatha - undifferentiated,,,,
1,Crustaceans,Crustaceans,Amphipods,28565901,,,,Cystisoma spp.,,,,
7,Crustaceans,Crustaceans,Amphipods,28572901,,,,Phronima spp.,,,,
13,Crustaceans,Crustaceans,Krill,28700000,,,,Order Euphausiacea - undifferentiated,,,,
17,Crustaceans,Crustaceans,Prawn,28735007,,,,Acanthephyra quadrispinosa,,,,
18,Crustaceans,Crustaceans,Amphipods,28555901,,,,Lanceola spp.,,,,
24,Crustaceans,Crustaceans,Krill,28702000,,,,Euphausiidae - undifferentiated,,,,
25,Crustaceans,Crustaceans,Krill,28702902,,,,Nematobrachion spp.,,,,
26,Crustaceans,Crustaceans,Krill,28702906,,,,Stylocheiron spp.,,,,
30,Crustaceans,Crustaceans,Prawn,28735901,,,,Acanthephyra spp.,,,,
31,Crustaceans,Crustaceans,Prawn,28734003,,,,Oplophorus novaezeelandiae,,,,
32,Crustaceans,Crustaceans,Prawn,28720020,,,,Phorcosergia potens,,,,
33,Crustaceans,Crustaceans,Prawn,28720906,,,,Sergestes spp.,,,,
39,Crustaceans,Crustaceans,Krill,28702901,,,,Euphausia spp.,,,,
47,Crustaceans,Crustaceans,Gnathaphausia,28081003,,,,Gnathophausia gigas,,,,
48,Crustaceans,Crustaceans,Krill,28702015,,,,Nematoscelis megalops,,,,
