,Acoustic_Category,Taxa_Groups,ACat,CAAB_updated,bladder_research,source,link,Taxa_updated,,,,
,,,,,FnGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Alepisauridae - undifferentiated,,,,
,,,,,,,,Alepisauroidea - undifferentiated,,,,
,,,,,FnGB,buoyancy,,Alepocephalidae - undifferentiated,,,,
,,,,,FnGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Anotopteridae - undifferentiated,,,,
,,,,,FGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Argentinidae - undifferentiated,,,,
,,,,,FGB,,Brian W. Coad,Argyropelecus aculeatus,,,,
20,FGB,FGB,FGB,37107005,,,,Argyropelecus gigas,,,,
3,FGB,FGB,FGB,37107006,,,,Argyropelecus hemigymnus,,,,
,,,,,FGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Astronesthidae - undifferentiated,,,,
21,FGB,FGB,FGB,37098000,FnGB,Coad - marine fishes of Canada,https://www.degruyter.com/document/doi/10.3138/9781442667297-039/pdf,Bathylagidae - undifferentiated,,,,
52,F,F,F,37098903,FnGB,adaptions to deepsea,Imants G. Priede,Bathylagus spp.,,,,
,,,,,FnGB,buoyancy,,Bathylogidae - undifferentiated,,,,
,,,,,FnGB,,,Bathysaurus spp.,,,,
112,F,F,F,37131751,FnGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf - family,Benthalbella macropinna,,,,
22,FGB,FGB,FGB,37108902,,,,Borostomias spp.,,,,
,,,,,,,,Cetunculi spp.,,,,
,,,,,FnGB,buoyancy,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Chauliodontidae - undifferentiated,,,,
,,,,,FnGB,buoyancy,,Chauliodus sloanei,,,,
,,,,,FnGB,,Imants G. Priede,Chauliodus spp.,,,,
,,,,,FGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Chiasmodontidae - undifferentiated,,,,
,,,,,FnGB,buoyancy,,clupeoids,Woodsia meyerwaardeni,,,
,,,,,FnGB,buoyancy,,Ctenolabrus rupestris,,,,
16,FGB,FGB,FGB,37106902,,,,Cyclothone spp.,,,,
46,FGB,FGB,FGB,37122061,,,,Diaphus hudsoni,,,,
9,F,F,F,37106010,FGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Diplophos rebainsi,,,,
,,,,,FGB,,,Eel Larvae clear,,,,
93,FGB,FGB,FGB,37122750,,,,Electrona antarctica,,,,
11,FGB,FGB,FGB,37122075,,,,Electrona paucirastra,,,,
113,FGB,FGB,FGB,37122901,,,,Electrona spp.,,,,
59,FGB,FGB,FGB,37122014,,,,Electrona subaspera,,,,
,,,,,FnGB,,Imants G. Priede,Eurypharynx spp.,,,,
15,F,F,F,37130002,FnGB,,,Evermannella balbo,,,,
,,,,,FnGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Evermannellidae - undifferentiated,,,,
75,F,F,F,NA,FGB,,,Fish,,,,
,,,,,FGB,,Imants G. Priede,Gadidae - undifferentiated,,,,
,F,F,F,,FGB,,,Gempylidae - undifferentiated,,,,
,,,,,,,,Giganturoidea - undifferentiated,,,,
,,,,,FnGB,,https://www.gutenberg.org/files/51702/51702-h/51702-h.htm,Gonorhynchiae  - undifferentiated,,,,
,,,,,FnGB,https://docs.niwa.co.nz/library/public/NZAEBR-208.pdf,,Gonorynchus forsteri,,,,
,,,,,FnGB,,Brian W. Coad,Gonostoma bathyphilum,,,,
,,,,,FGB,buoyancy,,Gonostoma denudatum,,,,
,,,,,FnGB,buoyancy,,Gonostoma elongatum,,,,
,,,,,FnGB,,Imants G. Priede,Gonostoma elongatum,,,,
,,,,,FGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Gonostomatidae - undifferentiated,,,,
97,FGB,FGB,FGB,37122751,,,,Gymnoscopelus braueri,,,,
60,FGB,FGB,FGB,37122114,,,,Gymnoscopelus fraseri,,,,
74,FGB,FGB,FGB,37122106,,,,Gymnoscopelus microlampas,,,,
124,FGB,FGB,FGB,37122753,,,,Gymnoscopelus opisthopterus,,,,
70,FGB,FGB,FGB,37122909,,,,Gymnoscopelus spp.,,,,
,,,,,FnGB,,,Helicolenus spp.,,,,
,,,,,FnGB,buoyancy,,Idiacanthidae - undifferentiated,,,,
94,FGB,FGB,FGB,37122754,,,,Krefftichthys anderssoni,,,,
,,,,,FGB,buoyancy,,Labrus bergyltaf,,,,
12,FGB,FGB,FGB,37122019,,,,Lampanyctus australis,,,,
137,FGB,FGB,FGB,37122503,,,,Lampanyctus spp.,,,,
10,F,F,F,NA,FGB,,,Larval Fish,,,,
,,,,,FnGB,,Imants G. Priede,Leptostomias spp.,,,,
69,F,F,F,37307000,FnGB,Gerrigner et al,,Liparidae - undifferentiated,,,,
,,,,,FnGB,,,Lophius spp.,,,,
,,,,,,,,Lyomeri spp.,,,,
,,,,,FGB,,Imants G. Priede,Macrouridae - undifferentiated,,,,
,,,,,FnGB,buoyancy,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Malacosteidae - undifferentiated,,,,
77,FGB,FGB,FGB,37110003,,,,Malacosteus australis,,,,
,,,,,FGB,,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Melamphaidae - undifferentiated,,,,
131,FnGB,FnGB,FnGB,37213901,,,,Melanocetus spp.,,,,
,,,,,FnGB,,Imants G. Priede,Melanocoetus spp.,,,,
,,,,,FnGB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Melanonidae - undifferentiated,,,,
41,F,F,F,37224015,FnGB,,,Melanonus gracilis,,,,
,,,,,FnGB,,https://books.google.com.au/books?id=EqDnP-lAw40C&pg=PA675&lpg=PA675&dq=Melanonidae+bladder&source=bl&ots=c8thFiuaHW&sig=ACfU3U3yyvG9atC1laIPAXhQ3jIC82w2kA&hl=en&sa=X&ved=2ahUKEwiKg7v2sMHzAhXlxjgGHUvJD3YQ6AF6BAgZEAM#v=onepage&q&f=false,Melanonus spp.,,,,
,,,,,FnGB,buoyancy,http://earthguide.ucsd.edu/fishes/environment/0_images/Original/myctophids/salvanes_01.pdf,Melanostomiatidae - undifferentiated,,,,
