"","ACat","Taxa_updated","CAAB_updated"
"1","Medusa","Calycopsis spp.",11039901
"2","Medusa","Cuninidae - undifferentiated",11082000
"3","Medusa","Solmissus marshalli",11082003
"4","Medusa","Solmissus spp.",11082902
"5","Medusa","Pegantha rubiginosa",11083001
"6","Medusa","Pegantha spp.",11083901
"7","Medusa","Halicreatidae - undifferentiated",11086000
"8","Medusa","Halicreas minimum",11086002
"9","Medusa","Rhopalonematidae - undifferentiated",11089000
"10","Medusa","Rhopalonema spp.",11089906
"11","Medusa","Sminthea spp.",11089907
"12","Siphonophore","Order Siphonophora - undifferentiated",11090000
"13","Siphonophore","Diphyes spp.",11093903
"14","Siphonophore","Vogtia spinosa",11094003
"15","Siphonophore","Hippopodius spp.",11094901
"16","Siphonophore","Vogtia spp.",11094902
"17","Siphonophore","Rosacea plicata",11095002
"18","Siphonophore","Amphicaryon acaule",11095003
"19","Siphonophore","Rosacea spp.",11095902
"20","Siphonophore","Amphicaryon spp.",11095903
"21","Siphonophore","Sphaeronectes spp.",11096901
"22","Siph_physonect","Marrus antarcticus",11100009
"23","Medusa","Atolla wyvillei",11123002
"24","Medusa","Atolla spp.",11123901
"25","Medusa","Periphylla periphylla",11128001
"26","Ctenophore","Phylum Ctenophora - undifferentiated",1.2e+07
"27","Ctenophore","Euplokamididae - undifferentiated",12018000
"28","Ctenophore","Euplokamis spp.",12018901
"29","Ctenophore","Ctenoplanidae - undifferentiated",12021000
"30","Ctenophore","Beroe spp.",12090901
"31","worms","Phylum Platyhelminthes - undifferentiated",1.3e+07
"32","worms","Phylum Nemertea - undifferentiated",1.4e+07
"33","worms","Pelagonemertes spp.",14125901
"34","worms","Class Polychaeta - undifferentiated",2.2e+07
"35","worms","Alciopidae - undifferentiated",22042000
"36","worms","Tomopteris spp.",22068901
"37","Cephalopod","Class Cephalopoda - undifferentiated",23590000
"38","Cephalopod","Sepiidae - undifferentiated",23607000
"39","Cephalopod","Sepiolidae - undifferentiated",23609000
"40","Cephalopod","Order Teuthoidea - undifferentiated",23615000
"41","Cephalopod","Pyroteuthidae - undifferentiated",23621902
"42","Cephalopod","Histioteuthis spp.",23630901
"43","Cephalopod","Cranchiidae - undifferentiated",23643000
"44","pelagic gastropod","Class Gastropoda - undifferentiated",2.4e+07
"45","pelagic gastropod","Danilia spp.",24051901
"46","Pteropod","Order Thecosomata - undifferentiated",24400000
"47","Pteropod","Limacina spp.",24401901
"48","Pteropod","Peracle spp.",24403901
"49","Pteropod","Clio pyramidata",24406001
"50","Pteropod","Clio recurva",24406004
"51","Pteropod","Clio spp.",24406901
"52","Pteropod","Styliola subula",24407002
"53","Pteropod","Cuvierina spp.",24408901
"54","Gymnosome","Order Gymnosomata - undifferentiated",24410000
"55","Gymnosome","Notobranchaeidae - undifferentiated",24413000
"56","Ostracod","Class Ostracoda - undifferentiated",27100000
"57","Ostracod","Gigantocypris spp.",27106913
"58","Copepod","Subclass Copepoda - undifferentiated",27200000
"59","Copepod","Order Calanoida - undifferentiated",27201000
"60","Copepod","Calanoides spp.",27205901
"61","Copepod","Euchirella spp.",27212903
"62","Copepod","Rhincalanus spp.",27217901
"63","Gnathaphausia","Gnathophausia gigas",28081003
"64","Gnathaphausia","Gnathophausia spp.",28081901
"65","Isopods","Order Isopoda - undifferentiated",28200000
"66","Amphipods","Order Amphipoda - undifferentiated",28399000
"67","Amphipods","Tryphosella macropareia",28405145
"68","Amphipods","Cyphocaris richardi",28406004
"69","Amphipods","Cyphocaris spp.",28406901
"70","Amphipods","Uristidae - undifferentiated",28413000
"71","Amphipods","Gammaridae - undifferentiated",28418000
"72","Amphipods","Eurythenes gryllus",28427001
"73","Amphipods","Eurythenes spp.",28427901
"74","Amphipods","Metacyphocaris spp.",28432901
"75","Amphipods","Parandania boecki",28490011
"76","Amphipods","Synopia spp.",28495902
"77","Amphipods","Lanceola sayana",28555003
"78","Amphipods","Lanceola spp.",28555901
"79","Amphipods","Scina spp.",28561901
"80","Amphipods","Cyllopus spp.",28564901
"81","Amphipods","Cystisomatidae - undifferentiated",28565000
"82","Amphipods","Cystisoma spp.",28565901
"83","Amphipods","Vibiliidae - undifferentiated",28566000
"84","Amphipods","Vibilia spp.",28566901
"85","Amphipods","Themisto gaudichaudii",28570022
"86","Amphipods","Pegohyperia princeps",28570031
"87","Amphipods","Hyperia spp.",28570901
"88","Amphipods","Themisto spp.",28570910
"89","Amphipods","Hyperiidae - undifferentiated",28570911
"90","Amphipods","Phronima spp.",28572901
"91","Amphipods","Primno spp.",28573903
"92","Krill","Order Euphausiacea - undifferentiated",28700000
"93","Krill","Euphausiidae - undifferentiated",28702000
"94","Krill","Euphausia similis similis",28702007
"95","Krill","Nematobrachion boopis",28702011
"96","Krill","Nematobrachion flexipes",28702012
"97","Krill","Nematoscelis megalops",28702015
"98","Krill","Euphausia triacantha",28702043
"99","Krill","Thysanoessa macrura",28702052
"100","Krill","Euphausia spp.",28702901
"101","Krill","Nematobrachion spp.",28702902
"102","Krill","Nematoscelis spp.",28702903
"103","Krill","Stylocheiron spp.",28702906
"104","Krill","Thysanoessa spp.",28702907
"105","Krill","Thysanopoda spp.",28702908
"106","Prawn","Gennadas gilchristi",28713007
"107","Prawn","Gennadas spp.",28713903
"108","Prawn","Phorcosergia potens",28720020
"109","Prawn","Sergestes spp.",28720906
"110","Prawn","Phorcosergia spp.",28720906
